regio,gm_naam,recs,gwb_code,year,old_name,old_recs,sim_score
Hengelo (O.),Hengelo,Gemeente,GM0164,2004,hengelo (gld.),gemeente,84.61538461538461
Bergen (NH.),Bergen (NH.),Gemeente,GM0373,2004,bergen (l.),gemeente,86.95652173913044
Laren (NH.),Laren,Gemeente,GM0417,2004,bergen (nh.),gemeente,78.26086956521739
Rijswijk (ZH.),Rijswijk,Gemeente,GM0603,2004,rijswijk,gemeente,72.72727272727273
Middelburg (Z.),Middelburg,Gemeente,GM0687,2004,middelburg,gemeente,80.0
Beek (L.),Beek,Gemeente,GM0888,2004,bergen (l.),gemeente,80.0
Bergen (L.),Bergen (L.),Gemeente,GM0893,2004,bergen (nh.),gemeente,86.95652173913044
Koggenland,Koggenland,Gemeente,GM1598,2004,wester-koggenland,gemeente,74.07407407407408
Lansingerland,Lansingerland,Gemeente,GM1621,2004,smallingerland,gemeente,74.07407407407408
Berkelland,Berkelland,Gemeente,GM1859,2004,dinkelland,gemeente,70.0
Dantumadiel,Dantumadiel,Gemeente,GM1891,2004,dantumadeel,gemeente,90.9090909090909
Nissewaard,Nissewaard,Gemeente,GM1930,2004,lingewaard,gemeente,70.0
Berg en Dal,Berg en Dal,Gemeente,GM1945,2004,bergen (l.),gemeente,72.72727272727273
Westerwolde,Westerwolde,Gemeente,GM1950,2004,menterwolde,gemeente,81.81818181818181
Midden-Groningen,Midden-Groningen,Gemeente,GM1952,2004,groningen,gemeente,72.0
Beekdaelen,Beekdaelen,Gemeente,GM1954,2004,breukelen,gemeente,73.6842105263158
Montferland,Montferland,Gemeente,GM1955,2004,opsterland,gemeente,76.19047619047619
Altena,Altena,Gemeente,GM1959,2004,aalten,gemeente,83.33333333333334
