address,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Balijelaan 00002,1919,0.0,40,143000.0,140000.0,153000.0,168000.0,167000.0,180000.0,193000.0,216000.0,261000.0,258000.0
Balijelaan 0002B,1919,0.0,34,125000.0,124000.0,165000.0,179000.0,168000.0,179000.0,193000.0,216000.0,257000.0,267000.0
Balijelaan 0002C,1919,0.0,49,169000.0,167000.0,220000.0,239000.0,234000.0,251000.0,269000.0,301000.0,337000.0,331000.0
Balijelaan 0002D,1919,0.0,49,169000.0,167000.0,225000.0,244000.0,234000.0,251000.0,270000.0,302000.0,364000.0,394000.0
Balijelaan 0002E,1919,0.0,34,122000.0,121000.0,160000.0,160000.0,163000.0,174000.0,187000.0,209000.0,254000.0,263000.0
Balijelaan 0002G,1919,0.0,33,119000.0,118000.0,132000.0,132000.0,153000.0,165000.0,177000.0,198000.0,250000.0,247000.0
Balijelaan 0002H,1919,0.0,50,171000.0,169000.0,190000.0,207000.0,238000.0,256000.0,302000.0,359000.0,367000.0,337000.0
Balijelaan 0002J,1919,0.0,42,150000.0,149000.0,170000.0,174000.0,201000.0,215000.0,251000.0,290000.0,313000.0,282000.0
Balijelaan 00004,1919,169.0,139,298000.0,299000.0,403000.0,440000.0,464000.0,554000.0,600000.0,683000.0,823000.0,831000.0
Balijelaan 0008A,1919,0.0,26,97000.0,96000.0,105000.0,105000.0,121000.0,130000.0,139000.0,154000.0,199000.0,196000.0
Balijelaan 0008B,1919,0.0,59,117000.0,116000.0,130000.0,138000.0,159000.0,172000.0,184000.0,206000.0,255000.0,253000.0
Balijelaan 0008C,1919,0.0,26,90000.0,89000.0,97000.0,101000.0,117000.0,126000.0,135000.0,151000.0,189000.0,186000.0
Balijelaan 0008D,1919,0.0,34,110000.0,109000.0,126000.0,136000.0,158000.0,170000.0,182000.0,204000.0,254000.0,251000.0
Balijelaan 0010B,1919,0.0,141,189000.0,190000.0,270000.0,375000.0,419000.0,419000.0,423000.0,479000.0,522000.0,594000.0
Balijelaan 12-BS,1919,0.0,122,244000.0,170000.0,183000.0,279000.0,321000.0,358000.0,391000.0,450000.0,527000.0,558000.0
Balijelaan 12-BSA,1919,0.0,112,229000.0,156000.0,168000.0,305000.0,346000.0,353000.0,386000.0,422000.0,522000.0,521000.0
Balijelaan 16-BS,1919,0.0,100,185000.0,186000.0,227000.0,279000.0,329000.0,340000.0,364000.0,375000.0,477000.0,455000.0
Balijelaan 18-BS,1926,0.0,99,183000.0,184000.0,229000.0,273000.0,308000.0,314000.0,382000.0,415000.0,493000.0,472000.0
Balijelaan 18-BSA,1926,0.0,91,174000.0,175000.0,213000.0,252000.0,284000.0,290000.0,317000.0,347000.0,471000.0,450000.0
Balijelaan 00020,1926,0.0,90,149000.0,150000.0,169000.0,230000.0,280000.0,290000.0,315000.0,381000.0,414000.0,436000.0
Balijelaan 20-BS,1926,0.0,70,148000.0,149000.0,170000.0,196000.0,221000.0,225000.0,245000.0,269000.0,379000.0,393000.0
Balijelaan 20-BSA,1926,0.0,86,169000.0,170000.0,203000.0,238000.0,269000.0,275000.0,300000.0,328000.0,420000.0,437000.0
Balijelaan 00024,1930,110.0,124,261000.0,262000.0,281000.0,343000.0,379000.0,433000.0,448000.0,509000.0,665000.0,707000.0
