address,buurt,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Adenauerlaan 00001,Kanaleneiland-Noord,1960,0,135,103000.0,102000.0,108000.0,119000.0,132000.0,168000.0,341000.0,400000.0,425000,426000.0
Auriollaan 00001,Kanaleneiland-Noord,1960,85,56,142000.0,95000.0,109000.0,117000.0,127000.0,219000.0,242000.0,290000.0,546000,523000.0
Eisenhowerlaan 00001,Kanaleneiland-Noord,1967,0,31,59000.0,58000.0,62000.0,82000.0,95000.0,109000.0,122000.0,166000.0,193000,193000.0
Marshalllaan 00001,Kanaleneiland-Noord,1960,0,101,133000.0,132000.0,136000.0,148000.0,176000.0,179000.0,272000.0,279000.0,318000,313000.0
Monnetlaan 00001,Kanaleneiland-Noord,1960,0,103,,,,,194000.0,242000.0,265000.0,291000.0,331000,306000.0
Nansenlaan 00001,Kanaleneiland-Noord,1958,0,116,103000.0,102000.0,108000.0,119000.0,142000.0,178000.0,190000.0,215000.0,303000,337000.0
Pearsonhof 00001,Kanaleneiland-Noord,2011,154,124,222000.0,222000.0,250000.0,265000.0,299000.0,328000.0,341000.0,372000.0,472000,460000.0
Pearsonlaan 00001,Kanaleneiland-Noord,1959,0,134,103000.0,102000.0,108000.0,119000.0,132000.0,168000.0,180000.0,205000.0,312000,371000.0
Spaaklaan 00001,Kanaleneiland-Noord,1959,211,223,163000.0,163000.0,194000.0,219000.0,249000.0,275000.0,301000.0,356000.0,426000,441000.0
Trumanhof 00001,Kanaleneiland-Noord,2015,143,86,,124000.0,208000.0,223000.0,245000.0,294000.0,320000.0,357000.0,412000,414000.0
Trumanlaan 00001,Kanaleneiland-Noord,1958,183,222,172000.0,172000.0,178000.0,230000.0,239000.0,264000.0,290000.0,468000.0,426000,497000.0
Monnetlaan 0001A,Kanaleneiland-Noord,1960,0,59,,,,,161000.0,176000.0,203000.0,228000.0,274000,278000.0
Adenauerlaan 00002,Kanaleneiland-Noord,1957,211,130,168000.0,168000.0,156000.0,203000.0,210000.0,252000.0,276000.0,303000.0,384000,425000.0
Attleeplantsoen 00002,Kanaleneiland-Noord,1957,148,142,152000.0,152000.0,156000.0,181000.0,232000.0,286000.0,332000.0,365000.0,433000,411000.0
Auriollaan 00002,Kanaleneiland-Noord,1960,0,74,115000.0,114000.0,131000.0,182000.0,217000.0,242000.0,257000.0,288000.0,331000,306000.0
Bevinlaan 00002,Kanaleneiland-Noord,1959,145,108,148000.0,148000.0,151000.0,167000.0,183000.0,202000.0,222000.0,266000.0,306000,316000.0
Geallieerdenlaan 00002,Kanaleneiland-Noord,2005,119,136,219000.0,219000.0,,,274000.0,303000.0,330000.0,379000.0,469000,478000.0
Marshalllaan 00002,Kanaleneiland-Noord,1961,0,102,135000.0,134000.0,138000.0,149000.0,178000.0,181000.0,275000.0,282000.0,319000,316000.0
Monnetlaan 00002,Kanaleneiland-Noord,1959,143,92,160000.0,160000.0,181000.0,214000.0,233000.0,257000.0,209000.0,252000.0,406000,342000.0
Nansenlaan 00002,Kanaleneiland-Noord,1958,0,95,103000.0,102000.0,108000.0,119000.0,132000.0,168000.0,180000.0,205000.0,263000,289000.0
Overwinningslaan 00002,Kanaleneiland-Noord,2005,124,145,200000.0,200000.0,205000.0,197000.0,226000.0,277000.0,312000.0,335000.0,390000,451000.0
Pearsonhof 00002,Kanaleneiland-Noord,2011,0,93,183000.0,181000.0,196000.0,202000.0,233000.0,278000.0,314000.0,346000.0,368000,398000.0
Pearsonlaan 00002,Kanaleneiland-Noord,1959,0,134,117000.0,116000.0,122000.0,135000.0,145000.0,180000.0,193000.0,219000.0,341000,392000.0
