regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Belgisch Park,'s-Gravenhage,BU05180271,8385.0,7900.0,13.0,2264.074074074074,825.0863882687117,49.00000000000001,41.50000000000001,25.2,58.76543209876543,2587.0,3,2498.0,504.0,520.0,525,526,73.33,0.96,0.19
Westbroekpark,'s-Gravenhage,BU05180373,1090.0,2644.0,9.0,3149.9408450829933,1308.198011126488,60.85110567529144,50.75709589477833,33.10000000000001,-4.973648213630916,2597.0000000000005,4,2426.0,713.0,756.0,791,819,41.04,4.63,3.54
Duttendel,'s-Gravenhage,BU05180374,1310.0,1006.0,0.0,2818.0246913580245,1276.5420154421497,62.7549383693833,51.46637266729971,38.29999999999999,-1.0347548845795274,2597.0000000000005,1,1258.0,722.0,744.0,796,806,29.84,6.99,1.26
Nassaubuurt,'s-Gravenhage,BU05180448,1635.0,5779.0,1.0,3147.964652226262,1268.9718522609385,71.4532608389884,57.65579871126995,49.57451357441781,-11.89801513052952,2596.0,1,3410.0,782.0,790.0,818,896,68.09,3.54,9.54
Uilennest,'s-Gravenhage,BU05180475,2335.0,7935.0,0.0,2370.932704362038,922.3010366358868,70.30000000000001,53.4,29.000000000000007,9.753086419753089,2597.0000000000005,3,1994.0,493.0,495.0,512,518,92.61,3.43,1.17
Duinzigt,'s-Gravenhage,BU05180476,2620.0,3767.0,2.0,2093.2098765432097,1049.6312589827662,60.0287681018568,50.77396500997942,29.7,19.82650771956813,2597.0000000000005,1,1401.0,525.0,527.0,532,537,68.91,0.95,0.94
Waalsdorp,'s-Gravenhage,BU05180477,4095.0,6378.0,0.0,2762.83950617284,1288.513175312905,70.43558764009556,55.246090693882536,51.78689924753253,21.250081860348324,2597.0000000000005,5,2138.0,782.0,781.0,816,892,70.52,4.48,9.31
Arendsdorp,'s-Gravenhage,BU05180478,1795.0,3500.0,19.0,2380.617283950617,1150.2469135802469,57.94931503005823,46.72143814241808,37.12433300784748,-1.181160946071426,2596.0,1,2928.0,517.0,524.0,517,504,1.35,-1.34,-2.51
Van Hoytemastraat en omgeving,'s-Gravenhage,BU05180479,2445.0,9551.0,0.0,2583.703703703704,909.6380944306752,78.30000000000001,60.49999999999999,51.20260846720336,4.975289643906635,2596.0,1,2516.0,672.0,688.0,678,698,83.96,-1.45,2.95
Archipelbuurt,'s-Gravenhage,BU05180546,6355.0,7309.0,14.0,1948.3455878054515,791.7176924782535,57.74845989401133,49.12671943710736,31.0,39.25925925925926,2585.0,1,3450.0,643.0,639.0,638,636,68.16,-0.16,-0.31
Van Stolkpark en Scheveningse Bosjes,'s-Gravenhage,BU05180605,805.0,746.0,11.0,3744.327176350203,1612.7574781293526,70.05979896397992,57.06033905333848,44.39633354422557,-3.8051916454916928,2585.0,3,3555.0,919.0,948.0,1035,1153,70.2,9.18,11.4
Oud Scheveningen,'s-Gravenhage,BU05180701,2955.0,10016.0,31.0,1855.8024691358023,1048.373004016482,39.100000000000016,34.9,13.7,29.50617283950617,2584.0,2,3996.0,331.0,336.0,342,349,88.76,1.79,2.05
Vissershaven,'s-Gravenhage,BU05180702,4705.0,5556.0,28.0,1969.1032337927336,873.2207710050017,44.69999999999999,36.900000000000006,18.7,29.50617283950617,2583.0,1,3559.0,369.0,396.0,404,417,108.42,2.02,3.22
Scheveningen Badplaats,'s-Gravenhage,BU05180703,5675.0,8795.0,9.0,1934.7369276989384,867.563108741942,46.89999999999999,40.00000000000001,19.7,59.38271604938272,2586.0000000000005,1,3996.0,406.0,413.0,421,426,76.5,1.94,1.19
Visserijbuurt,'s-Gravenhage,BU05180704,4080.0,15034.0,26.0,1984.9382716049383,943.776778057786,43.6,36.1,16.9,29.25925925925926,2584.0,2,4484.0,376.0,380.0,387,397,71.95,1.84,2.58
Rijslag,'s-Gravenhage,BU05180772,1740.0,7060.0,9.0,2193.827160493828,1054.007255915195,54.8,45.90000000000002,22.6,9.753086419753089,2586.0000000000005,5,4127.0,478.0,489.0,497,506,72.18,1.64,1.81
Duindorp,'s-Gravenhage,BU05180800,5790.0,6343.0,52.0,2544.4444444444443,690.037134528771,36.49999999999999,29.3,13.0,48.51851851851852,2583.0,1,2407.0,331.0,349.0,359,373,123.72,2.87,3.9
Statenkwartier,'s-Gravenhage,BU05180907,10475.0,10350.0,3.0,2473.58024691358,1251.9776612029716,71.50000000000003,57.5,54.99804000680584,69.1358024691358,2582.0,2,4347.0,675.0,688.0,686,714,72.0,-0.29,4.08
Geuzenkwartier,'s-Gravenhage,BU05180908,4480.0,14028.0,28.0,1938.456591870503,639.6517716132198,42.2,35.5,18.6,39.38271604938272,2581.0,5,4248.0,391.0,402.0,410,417,97.06,1.99,1.71
Zorgvliet,'s-Gravenhage,BU05181041,720.0,835.0,2.0,2974.814814814815,1380.022689458164,71.26510855087815,58.49817195519024,45.28081685902464,-11.99365680041618,2517.0,1,4320.0,892.0,899.0,905,921,69.62,0.67,1.77
Stadhoudersplantsoen,'s-Gravenhage,BU05181142,2840.0,12965.0,5.999999999999998,1965.6657387039493,776.1013144983353,53.8,46.19999999999999,19.4,25.049116703853056,2517.0,2,5451.0,450.0,456.0,456,458,91.6,0.0,0.44
Sweelinckplein en omgeving,'s-Gravenhage,BU05181143,5970.0,13825.0,5.0,2252.716049382716,1012.8395061728396,63.400000000000006,52.7,40.52362748208262,49.38271604938272,2517.0,2,6623.0,555.0,558.0,564,571,82.35,1.08,1.24
