regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
"Welgelegen, Den Hommel",Utrecht,BU03440111,1800.0,5009.0,0.0,2065.630920110776,369.889422126166,43.38775189797357,39.66304894792249,21.79693884771405,0.7114731052718248,3533.0,1,3686.0,430.0,415.0,420,423,115.03,1.2,0.71
Oog in Al,Utrecht,BU03440112,4155.0,9421.0,1.0,2521.111111111112,1002.4393490771316,68.10000000000001,50.89999999999999,55.86827238974803,29.50617283950617,3533.0,1,3676.0,727.0,688.0,686,677,90.58,-0.29,-1.31
Halve Maan-Zuid,Utrecht,BU03440113,1420.0,7342.0,5.999999999999998,1865.3086419753083,489.32889643262,52.09999999999998,43.7,34.39999999999999,-0.4023543327323473,3533.0,1,2989.0,458.0,448.0,455,458,109.35,1.56,0.66
Halve Maan-Noord,Utrecht,BU03440114,1865.0,10040.0,58.0,1393.724137117935,674.8148148148148,34.39999999999999,28.70000000000001,14.70082050010301,19.62962962962963,3533.0,1,3438.0,361.0,348.0,349,349,114.81,0.29,0.0
Lombok-Oost,Utrecht,BU03440121,2260.0,17414.0,29.0,1793.20987654321,657.198239183762,41.30000000000001,37.2,12.2,19.753086419753085,3531.0,1,4887.0,386.0,377.0,383,386,109.44,1.59,0.78
Leidseweg en omgeving,Utrecht,BU03440122,1175.0,9929.0,47.0,2033.8007567132013,677.2695512082363,40.49999999999999,34.29999999999999,14.6,9.753086419753089,3531.0,1,4245.0,403.0,398.0,398,398,95.1,0.0,0.0
Lombok-West,Utrecht,BU03440123,4950.0,17750.0,27.0,1794.4444444444443,533.192612123827,43.9,38.2,18.700000000000003,48.888888888888886,3531.0,1,4517.0,428.0,415.0,420,426,109.6,1.2,1.43
Laan van Nieuw Guinea-Spinozaplantsoen,Utrecht,BU03440124,4250.0,14239.0,21.0,1666.8518490442975,444.38165479126985,43.7,38.900000000000006,16.7,39.25925925925926,3531.0,3,4160.0,394.0,383.0,385,385,113.97,0.52,0.0
"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",Utrecht,BU03440131,5860.0,10302.0,26.0,1934.9382716049383,614.813561708619,46.900000000000006,40.4,20.599999999999994,49.01234567901235,3532.0,1,4753.0,433.0,419.0,423,433,107.43,0.95,2.36
Schepenbuurt bedrijvengebied Cartesiusweg,Utrecht,BU03440132,1830.0,1711.0,0.0,2352.098765432099,629.3858343907908,45.79999999999999,35.400000000000006,36.7,9.629629629629632,3534.0,1,3186.0,483.0,379.0,347,299,97.4,-8.44,-13.83
Bedrijventerrein Lageweide,Utrecht,BU03440133,150.0,34.0,0.0,3762.7634376928354,1390.4366394736253,50.26093673931795,42.77291218029291,36.7,-79.08662327051769,3542.0,1,738.0,505.0,492.0,479,464,92.94,-2.64,-3.13
Pijlsweerd-Zuid,Utrecht,BU03440211,4745.0,15473.0,11.0,1913.2586582760337,455.80246913580254,51.6,47.80000000000001,17.500000000000007,31.38739407019268,3513.0,1,5909.0,454.0,450.0,453,453,129.59,0.67,0.0
Pijlsweerd-Noord,Utrecht,BU03440212,2190.0,10715.0,42.0,2078.770701310077,751.4632736316742,38.8,34.0,14.400000000000002,29.62962962962963,3513.0,1,5548.0,389.0,374.0,381,386,122.62,1.87,1.31
"Nijenoord, Hoogstraat en omgeving",Utrecht,BU03440221,2185.0,9965.0,33.0,1793.20987654321,514.6913580246913,41.79999999999999,36.49999999999999,18.55960017129652,19.50617283950617,3552.0,2,5175.0,370.0,366.0,364,363,117.86,-0.55,-0.27
Ondiep,Utrecht,BU03440222,5145.0,10754.0,51.0,1704.209110429381,576.0493827160494,39.9,32.7,19.8,28.76543209876544,3552.0,1,4874.0,428.0,420.0,429,439,144.19,2.14,2.33
2e Daalsebuurt en omgeving,Utrecht,BU03440223,3970.0,10663.0,16.0,1986.1728395061727,687.315243953745,42.3,37.39999999999999,13.8,29.82614003492114,3551.0,1,5233.0,396.0,391.0,391,391,126.01,0.0,0.0
"Elegantierstraat, Mariëndaalstraat en omgeving",Utrecht,BU03440224,2885.0,12669.0,34.0,1844.4444444444443,736.0552087975924,38.90000000000002,33.900000000000006,11.1,19.382716049382715,3551.0,1,4297.0,402.0,388.0,394,389,122.99,1.55,-1.27
Julianapark en omgeving,Utrecht,BU03440231,2895.0,10245.0,17.0,1804.576852900984,613.8689465361833,40.49999999999999,37.8,13.4,19.135802469135804,3553.0,2,4027.0,375.0,361.0,362,362,121.47,0.28,0.0
Elinkwijk en omgeving,Utrecht,BU03440232,4365.0,13168.0,15.0,2004.567901234568,611.5452418568444,46.000000000000014,40.9,17.799999999999997,38.888888888888886,3553.0,1,3391.0,389.0,383.0,382,382,125.29,-0.26,0.0
Prins Bernhardplein en omgeving,Utrecht,BU03440233,3330.0,9098.0,44.0,1783.7037037037037,702.5965021093801,38.6,32.4,17.9,29.012345679012345,3555.0,1,2577.0,371.0,364.0,369,379,112.87,1.37,2.71
Geuzenwijk,Utrecht,BU03440241,3920.0,13258.0,54.0,1903.9506172839504,593.9339536571989,39.3,32.00000000000001,19.2,29.25925925925926,3554.0,2,4528.0,372.0,368.0,375,381,128.57,1.9,1.6
Schaakbuurt en omgeving,Utrecht,BU03440242,4630.0,9492.0,42.0,2025.432098765432,506.1287939613322,37.5,31.1,16.399999999999995,39.25925925925926,3554.0,2,3957.0,401.0,393.0,392,401,123.3,-0.25,2.3
Queeckhovenplein en omgeving,Utrecht,BU03440243,1195.0,11342.0,61.0,2200.894146563693,549.5881308708496,40.99999999999999,27.5,26.0,9.876543209876544,3555.0,1,2954.0,414.0,405.0,408,409,162.99,0.74,0.25
